variant,total_benign_traces,admitted_benign,blocked_benign_false_positives,benign_false_positive_rate
ENTRY_ONLY,17,17,0,0.00000000
FULL_RAC,17,17,0,0.00000000
HistoryAware,17,17,0,0.00000000
NO_RAC,17,17,0,0.00000000
RAC_WITHOUT_ACTION,17,17,0,0.00000000
RAC_WITHOUT_CONDITION,17,17,0,0.00000000
RAC_WITHOUT_DELEGATION,17,17,0,0.00000000
RAC_WITHOUT_LINEAGE,17,17,0,0.00000000
RAC_WITHOUT_OUTPUT_ANCHOR,17,17,0,0.00000000
RAC_WITHOUT_PURPOSE,17,17,0,0.00000000
RAC_WITHOUT_RESOURCE_ORIGIN,17,17,0,0.00000000
STATIC_TOOL_ALLOWLIST,17,17,0,0.00000000
Static+History,17,17,0,0.00000000
