scenario,workflow_length,predecessor_count,decision,total_ms,event_construction_ms,output_anchor_verification_ms,precommit_check_ms,persistence_ms,metadata_json
decision_path_benign_read_summarize,,,ALLOW,0.476866,,,,,"{""repeat"": 0, ""scenario_name"": ""benign_read_summarize""}"
decision_path_benign_read_summarize,,,ALLOW,0.455896,,,,,"{""repeat"": 1, ""scenario_name"": ""benign_read_summarize""}"
decision_path_benign_read_summarize,,,ALLOW,0.470679,,,,,"{""repeat"": 2, ""scenario_name"": ""benign_read_summarize""}"
decision_path_benign_read_summarize,,,ALLOW,0.454781,,,,,"{""repeat"": 3, ""scenario_name"": ""benign_read_summarize""}"
decision_path_benign_read_summarize,,,ALLOW,0.674872,,,,,"{""repeat"": 4, ""scenario_name"": ""benign_read_summarize""}"
decision_path_action_escalation_external_email,,,BLOCK,0.433050,,,,,"{""repeat"": 0, ""scenario_name"": ""action_escalation_external_email""}"
decision_path_action_escalation_external_email,,,BLOCK,0.548652,,,,,"{""repeat"": 1, ""scenario_name"": ""action_escalation_external_email""}"
decision_path_action_escalation_external_email,,,BLOCK,0.449254,,,,,"{""repeat"": 2, ""scenario_name"": ""action_escalation_external_email""}"
decision_path_action_escalation_external_email,,,BLOCK,0.397210,,,,,"{""repeat"": 3, ""scenario_name"": ""action_escalation_external_email""}"
decision_path_action_escalation_external_email,,,BLOCK,0.419470,,,,,"{""repeat"": 4, ""scenario_name"": ""action_escalation_external_email""}"
decision_path_resource_expansion_file_b,,,BLOCK,0.534410,,,,,"{""repeat"": 0, ""scenario_name"": ""resource_expansion_file_b""}"
decision_path_resource_expansion_file_b,,,BLOCK,0.400159,,,,,"{""repeat"": 1, ""scenario_name"": ""resource_expansion_file_b""}"
decision_path_resource_expansion_file_b,,,BLOCK,0.489508,,,,,"{""repeat"": 2, ""scenario_name"": ""resource_expansion_file_b""}"
decision_path_resource_expansion_file_b,,,BLOCK,0.486885,,,,,"{""repeat"": 3, ""scenario_name"": ""resource_expansion_file_b""}"
decision_path_resource_expansion_file_b,,,BLOCK,0.491460,,,,,"{""repeat"": 4, ""scenario_name"": ""resource_expansion_file_b""}"
decision_path_forged_predecessor,,,BLOCK,0.369040,,,,,"{""repeat"": 0, ""scenario_name"": ""forged_predecessor""}"
decision_path_forged_predecessor,,,BLOCK,0.306718,,,,,"{""repeat"": 1, ""scenario_name"": ""forged_predecessor""}"
decision_path_forged_predecessor,,,BLOCK,0.316899,,,,,"{""repeat"": 2, ""scenario_name"": ""forged_predecessor""}"
decision_path_forged_predecessor,,,BLOCK,0.340351,,,,,"{""repeat"": 3, ""scenario_name"": ""forged_predecessor""}"
decision_path_forged_predecessor,,,BLOCK,0.309461,,,,,"{""repeat"": 4, ""scenario_name"": ""forged_predecessor""}"
