scenario,workflow_length,predecessor_count,decision,total_ms,event_construction_ms,output_anchor_verification_ms,precommit_check_ms,persistence_ms,metadata_json
predecessor_resolution_n1,,1,ALLOW,0.477871,,,,,"{""blocked_rule"": null, ""repeat"": 0, ""resolution_note"": ""single_predecessor_allow""}"
predecessor_resolution_n1,,1,ALLOW,0.518102,,,,,"{""blocked_rule"": null, ""repeat"": 1, ""resolution_note"": ""single_predecessor_allow""}"
predecessor_resolution_n1,,1,ALLOW,0.443881,,,,,"{""blocked_rule"": null, ""repeat"": 2, ""resolution_note"": ""single_predecessor_allow""}"
predecessor_resolution_n1,,1,ALLOW,0.485458,,,,,"{""blocked_rule"": null, ""repeat"": 3, ""resolution_note"": ""single_predecessor_allow""}"
predecessor_resolution_n1,,1,ALLOW,0.509112,,,,,"{""blocked_rule"": null, ""repeat"": 4, ""resolution_note"": ""single_predecessor_allow""}"
predecessor_resolution_n2,,2,BLOCK,0.483427,,,,,"{""blocked_rule"": ""EVENT_CONSTRUCTION_ERROR"", ""repeat"": 0, ""resolution_note"": ""multi_anchor_event_construction""}"
predecessor_resolution_n2,,2,BLOCK,0.735135,,,,,"{""blocked_rule"": ""EVENT_CONSTRUCTION_ERROR"", ""repeat"": 1, ""resolution_note"": ""multi_anchor_event_construction""}"
predecessor_resolution_n2,,2,BLOCK,0.473771,,,,,"{""blocked_rule"": ""EVENT_CONSTRUCTION_ERROR"", ""repeat"": 2, ""resolution_note"": ""multi_anchor_event_construction""}"
predecessor_resolution_n2,,2,BLOCK,0.556603,,,,,"{""blocked_rule"": ""EVENT_CONSTRUCTION_ERROR"", ""repeat"": 3, ""resolution_note"": ""multi_anchor_event_construction""}"
predecessor_resolution_n2,,2,BLOCK,0.458072,,,,,"{""blocked_rule"": ""EVENT_CONSTRUCTION_ERROR"", ""repeat"": 4, ""resolution_note"": ""multi_anchor_event_construction""}"
