scenario,workflow_length,predecessor_count,decision,total_ms,event_construction_ms,output_anchor_verification_ms,precommit_check_ms,persistence_ms,metadata_json
benign_workflow_scaling_L1,1,,ALLOW,0.271260,,,,,"{""repeat"": 0, ""step_index"": 0}"
benign_workflow_scaling_L1,1,,ALLOW,0.264264,,,,,"{""repeat"": 1, ""step_index"": 0}"
benign_workflow_scaling_L1,1,,ALLOW,0.296500,,,,,"{""repeat"": 2, ""step_index"": 0}"
benign_workflow_scaling_L1,1,,ALLOW,0.270176,,,,,"{""repeat"": 3, ""step_index"": 0}"
benign_workflow_scaling_L1,1,,ALLOW,0.255707,,,,,"{""repeat"": 4, ""step_index"": 0}"
benign_workflow_scaling_L5,5,,ALLOW,0.253415,,,,,"{""repeat"": 0, ""step_index"": 0}"
benign_workflow_scaling_L5,5,,ALLOW,0.168238,,,,,"{""repeat"": 0, ""step_index"": 1}"
benign_workflow_scaling_L5,5,,ALLOW,0.148777,,,,,"{""repeat"": 0, ""step_index"": 2}"
benign_workflow_scaling_L5,5,,ALLOW,0.137226,,,,,"{""repeat"": 0, ""step_index"": 3}"
benign_workflow_scaling_L5,5,,ALLOW,0.130226,,,,,"{""repeat"": 0, ""step_index"": 4}"
benign_workflow_scaling_L5,5,,ALLOW,0.311951,,,,,"{""repeat"": 1, ""step_index"": 0}"
benign_workflow_scaling_L5,5,,ALLOW,0.183906,,,,,"{""repeat"": 1, ""step_index"": 1}"
benign_workflow_scaling_L5,5,,ALLOW,0.143587,,,,,"{""repeat"": 1, ""step_index"": 2}"
benign_workflow_scaling_L5,5,,ALLOW,0.145621,,,,,"{""repeat"": 1, ""step_index"": 3}"
benign_workflow_scaling_L5,5,,ALLOW,0.127053,,,,,"{""repeat"": 1, ""step_index"": 4}"
benign_workflow_scaling_L5,5,,ALLOW,0.258410,,,,,"{""repeat"": 2, ""step_index"": 0}"
benign_workflow_scaling_L5,5,,ALLOW,0.172198,,,,,"{""repeat"": 2, ""step_index"": 1}"
benign_workflow_scaling_L5,5,,ALLOW,0.140753,,,,,"{""repeat"": 2, ""step_index"": 2}"
benign_workflow_scaling_L5,5,,ALLOW,0.127516,,,,,"{""repeat"": 2, ""step_index"": 3}"
benign_workflow_scaling_L5,5,,ALLOW,0.124469,,,,,"{""repeat"": 2, ""step_index"": 4}"
benign_workflow_scaling_L5,5,,ALLOW,0.344513,,,,,"{""repeat"": 3, ""step_index"": 0}"
benign_workflow_scaling_L5,5,,ALLOW,0.306259,,,,,"{""repeat"": 3, ""step_index"": 1}"
benign_workflow_scaling_L5,5,,ALLOW,0.194843,,,,,"{""repeat"": 3, ""step_index"": 2}"
benign_workflow_scaling_L5,5,,ALLOW,0.158281,,,,,"{""repeat"": 3, ""step_index"": 3}"
benign_workflow_scaling_L5,5,,ALLOW,0.142219,,,,,"{""repeat"": 3, ""step_index"": 4}"
benign_workflow_scaling_L5,5,,ALLOW,0.272025,,,,,"{""repeat"": 4, ""step_index"": 0}"
benign_workflow_scaling_L5,5,,ALLOW,0.172482,,,,,"{""repeat"": 4, ""step_index"": 1}"
benign_workflow_scaling_L5,5,,ALLOW,0.118843,,,,,"{""repeat"": 4, ""step_index"": 2}"
benign_workflow_scaling_L5,5,,ALLOW,0.110123,,,,,"{""repeat"": 4, ""step_index"": 3}"
benign_workflow_scaling_L5,5,,ALLOW,0.102561,,,,,"{""repeat"": 4, ""step_index"": 4}"
benign_workflow_scaling_L10,10,,ALLOW,0.268257,,,,,"{""repeat"": 0, ""step_index"": 0}"
benign_workflow_scaling_L10,10,,ALLOW,0.178008,,,,,"{""repeat"": 0, ""step_index"": 1}"
benign_workflow_scaling_L10,10,,ALLOW,0.142180,,,,,"{""repeat"": 0, ""step_index"": 2}"
benign_workflow_scaling_L10,10,,ALLOW,0.140750,,,,,"{""repeat"": 0, ""step_index"": 3}"
benign_workflow_scaling_L10,10,,ALLOW,0.127511,,,,,"{""repeat"": 0, ""step_index"": 4}"
benign_workflow_scaling_L10,10,,ALLOW,0.119774,,,,,"{""repeat"": 0, ""step_index"": 5}"
benign_workflow_scaling_L10,10,,ALLOW,0.116636,,,,,"{""repeat"": 0, ""step_index"": 6}"
benign_workflow_scaling_L10,10,,ALLOW,0.114411,,,,,"{""repeat"": 0, ""step_index"": 7}"
benign_workflow_scaling_L10,10,,ALLOW,0.114328,,,,,"{""repeat"": 0, ""step_index"": 8}"
benign_workflow_scaling_L10,10,,ALLOW,0.116147,,,,,"{""repeat"": 0, ""step_index"": 9}"
benign_workflow_scaling_L10,10,,ALLOW,0.247272,,,,,"{""repeat"": 1, ""step_index"": 0}"
benign_workflow_scaling_L10,10,,ALLOW,0.165457,,,,,"{""repeat"": 1, ""step_index"": 1}"
benign_workflow_scaling_L10,10,,ALLOW,0.138585,,,,,"{""repeat"": 1, ""step_index"": 2}"
benign_workflow_scaling_L10,10,,ALLOW,0.130488,,,,,"{""repeat"": 1, ""step_index"": 3}"
benign_workflow_scaling_L10,10,,ALLOW,0.149879,,,,,"{""repeat"": 1, ""step_index"": 4}"
benign_workflow_scaling_L10,10,,ALLOW,0.134658,,,,,"{""repeat"": 1, ""step_index"": 5}"
benign_workflow_scaling_L10,10,,ALLOW,0.147312,,,,,"{""repeat"": 1, ""step_index"": 6}"
benign_workflow_scaling_L10,10,,ALLOW,0.126200,,,,,"{""repeat"": 1, ""step_index"": 7}"
benign_workflow_scaling_L10,10,,ALLOW,0.120170,,,,,"{""repeat"": 1, ""step_index"": 8}"
benign_workflow_scaling_L10,10,,ALLOW,0.118744,,,,,"{""repeat"": 1, ""step_index"": 9}"
benign_workflow_scaling_L10,10,,ALLOW,0.262198,,,,,"{""repeat"": 2, ""step_index"": 0}"
benign_workflow_scaling_L10,10,,ALLOW,0.167372,,,,,"{""repeat"": 2, ""step_index"": 1}"
benign_workflow_scaling_L10,10,,ALLOW,0.141565,,,,,"{""repeat"": 2, ""step_index"": 2}"
benign_workflow_scaling_L10,10,,ALLOW,0.141298,,,,,"{""repeat"": 2, ""step_index"": 3}"
benign_workflow_scaling_L10,10,,ALLOW,0.130978,,,,,"{""repeat"": 2, ""step_index"": 4}"
benign_workflow_scaling_L10,10,,ALLOW,0.173033,,,,,"{""repeat"": 2, ""step_index"": 5}"
benign_workflow_scaling_L10,10,,ALLOW,0.124956,,,,,"{""repeat"": 2, ""step_index"": 6}"
benign_workflow_scaling_L10,10,,ALLOW,0.119953,,,,,"{""repeat"": 2, ""step_index"": 7}"
benign_workflow_scaling_L10,10,,ALLOW,0.113766,,,,,"{""repeat"": 2, ""step_index"": 8}"
benign_workflow_scaling_L10,10,,ALLOW,0.117483,,,,,"{""repeat"": 2, ""step_index"": 9}"
benign_workflow_scaling_L10,10,,ALLOW,0.323597,,,,,"{""repeat"": 3, ""step_index"": 0}"
benign_workflow_scaling_L10,10,,ALLOW,0.216122,,,,,"{""repeat"": 3, ""step_index"": 1}"
benign_workflow_scaling_L10,10,,ALLOW,0.176487,,,,,"{""repeat"": 3, ""step_index"": 2}"
benign_workflow_scaling_L10,10,,ALLOW,0.180865,,,,,"{""repeat"": 3, ""step_index"": 3}"
